date,SM_ISMN_daily,SM_SMAP,SM_SMAP_lag1,NDMI_S2,NDVI_S2,NDVI_7day,NDMI_7day,P_ERA5_daily,T2M_ERA5_daily,P_lag1,P_lag2,P_lag3,P_7day
2020-04-27,0.4014863072061091,0.5111300599699569,0.41652742426411965,0.6479637611777603,0.7873208464749853,0.0,0.014187198779412102,0.006586977969483543,0.65345435073077,1.4936073307289803e-05,0.0031032279569743497,0.013214535721140392,0.23236165627560895
2020-04-28,0.37645745472587466,0.10441769768741463,0.5111300599699569,0.6606735606068268,0.7945239159132144,0.0,0.014187198779412102,0.040064579645046554,0.7232318805665237,0.006586977969483543,1.4936073307289803e-05,0.0031032279569743497,0.25231317190318525
2020-04-29,0.3593401141156043,0.629570371121402,0.10441769768741463,0.6733833600358936,0.8017269853514435,0.10919003542077099,0.160010816757427,0.0226554477748321,0.5772344856591127,0.040064579645046554,0.006586977969483543,1.4936073307289803e-05,0.07422100974017556
2020-04-30,0.3351525676010918,0.4957944161883134,0.629570371121402,0.6756986619300835,0.8183294183255976,0.10919003542077099,0.160010816757427,2.4893454861062743e-06,0.5428692853804494,0.0226554477748321,0.040064579645046554,0.006586977969483543,0.04410198175595406
2020-05-01,0.30141404118084836,0.4957944161883134,0.4957944161883134,0.6780139638242735,0.8349318512997518,0.10919003542077099,0.160010816757427,1.3245847932238309e-05,0.7014266172052945,2.4893454861062743e-06,0.0226554477748321,0.040064579645046554,0.03729940906144045
2020-05-02,0.2568841478541306,0.4007314384839444,0.4957944161883134,0.6803292657184634,0.8515342842739059,0.10919003542077099,0.160010816757427,1.0762251444945074e-05,0.7781543324191112,1.3245847932238309e-05,2.4893454861062743e-06,0.0226554477748321,0.03570587365927888
2020-05-03,0.22823120813693887,0.189728981704969,0.4007314384839444,0.6826445676126534,0.8681367172480601,0.10919003542077099,0.160010816757427,0.00025008293130861854,0.761334206147189,1.0762251444945074e-05,1.3245847932238309e-05,2.4893454861062743e-06,0.035827043909368375
2020-05-04,0.21421483502852912,0.189728981704969,0.189728981704969,0.6849598695068435,0.8847391502222142,0.2384708100587678,0.29507457302022866,0.0077673782182048155,0.7837316734217731,0.00025008293130861854,1.0762251444945074e-05,1.3245847932238309e-05,0.036435299509970306
2020-05-05,0.18469362441081627,0.3276684040321571,0.189728981704969,0.707675181391526,0.8874004917122589,0.2384708100587678,0.29507457302022866,0.00044078790541528625,0.636176786344714,0.0077673782182048155,0.00025008293130861854,1.0762251444945074e-05,0.016017315636428896
2020-05-06,0.1539320267923594,0.0,0.3276684040321571,0.7303904932762084,0.8900618332023035,0.2384708100587678,0.29507457302022866,2.155899741047943e-06,0.5643429836507986,0.00044078790541528625,0.0077673782182048155,0.00025008293130861854,0.004344163525506255
2020-05-07,0.13123294467873997,0.288420137723113,0.0,0.753105805160891,0.8927231746923481,0.2384708100587678,0.29507457302022866,0.005641802777678243,0.5693395851576937,2.155899741047943e-06,0.00044078790541528625,0.0077673782182048155,0.007250079533569142
